INFO:root:Processed IP 169.150.227.222: Fraud Score: 37, Risk: medium
INFO:root:Processed IP 178.249.211.66: Fraud Score: 40, Risk: medium
INFO:root:Processed IP 10.124.1.208: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.207: Fraud Score: 0, Risk: low
INFO:root:Processed IP 178.249.211.79: Fraud Score: 40, Risk: medium
INFO:root:Processed IP 10.124.0.200: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.225.2: Fraud Score: 25, Risk: medium
INFO:root:Processed IP 178.249.211.92: Fraud Score: 40, Risk: medium
INFO:root:Processed IP 10.124.1.67: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.201: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.225.66: Fraud Score: 25, Risk: medium
INFO:root:Processed IP 149.22.91.66: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 10.124.1.177: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.68: Fraud Score: 0, Risk: low
INFO:root:Processed IP 149.22.91.79: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 10.124.1.178: Fraud Score: 0, Risk: low
INFO:root:Processed IP 194.114.136.3: Fraud Score: 0, Risk: low
